NWCG_REPORTING_UNIT_NAME,DISCOVERY_TIME,STAT_CAUSE_DESCR,STATE,temperature(C),date
Carlsbad Field Office,1820,Lightning,NM,33.122093,6/19/2014
Southern California Agency,1743,Equipment Use,CA,16.334345,6/19/2014
Southern California Agency,1720,Equipment Use,CA,16.334345,6/19/2014
Arizona State Forestry Division - State Office,1859,Missing/Undefined,AZ,33.61535,6/19/2014
Tonto National Forest,1815,Miscellaneous,AZ,24.77981,6/19/2014
Tonto National Forest,1832,Miscellaneous,AZ,24.77981,6/19/2014
Tonto National Forest,1845,Miscellaneous,AZ,24.77981,6/19/2014
Arizona State Forestry Division - State Office,1841,Missing/Undefined,AZ,24.77981,6/19/2014
Amador-El Dorado Unit,1706,Smoking,CA,30.115046,6/19/2014
Nevada-Yuba-Placer Unit,1835,Missing/Undefined,CA,18.478266,6/19/2014
Plumas National Forest,1710,Miscellaneous,CA,19.774652,6/19/2014
Pennsylvania Division of Forest Fire Protection,2025,Miscellaneous,PA,25.982233,6/19/2014
Oregon Department of Forestry State Headquarters,1730,Debris Burning,OR,13.02981,6/19/2014
Oregon Department of Forestry State Headquarters,1845,Equipment Use,OR,15.201532,6/19/2014
Yakama Agency,1941,Arson,WA,20.029657,6/19/2014
Colville Agency,1745,Equipment Use,WA,19.189142,6/19/2014
Merced-Mariposa Unit,2210,Missing/Undefined,CA,23.596155,6/19/2014
Amador-El Dorado Unit,2055,Missing/Undefined,CA,27.021723,6/19/2014
Butte Unit,2213,Arson,CA,25.384119,6/19/2014
Hoopa Valley Tribe,2206,Arson,CA,12.845057,6/19/2014
Oregon Department of Forestry State Headquarters,2200,Campfire,OR,18.457666,6/19/2014
Washington State Headquarters,2230,Debris Burning,WA,8.843103,6/19/2014
Cabo Rojo National Wildlife Refuge,730,Arson,PR,24.799158,6/19/2014
California Desert District,122,Missing/Undefined,CA,27.220575,6/19/2014
Merced-Mariposa Unit,2326,Missing/Undefined,CA,24.246485,6/19/2014
Nevada-Yuba-Placer Unit,2309,Missing/Undefined,CA,24.629297,6/19/2014
Arizona State Forestry Division - State Office,559,Missing/Undefined,AZ,28.29867,6/19/2014
Arizona State Forestry Division - State Office,539,Miscellaneous,AZ,17.399286,6/19/2014
Humboldt-Toiyabe National Forest,215,Miscellaneous,NV,22.334406,6/19/2014
Merced-Mariposa Unit,427,Miscellaneous,CA,23.43545,6/19/2014
Shasta-Trinity National Forest,442,Miscellaneous,CA,18.146906,6/19/2014
Whiskeytown National Recreation Area,300,Equipment Use,CA,22.759607,6/19/2014
Okanogan/Wenatchee National Forest,200,Miscellaneous,WA,9.698908,6/19/2014
Riverside Unit,600,Debris Burning,CA,21.817774,6/19/2014
Arizona State Forestry Division - State Office,630,Missing/Undefined,AZ,22.375513,6/19/2014
North Carolina Forest Service,830,Debris Burning,NC,22.74792,6/19/2014
Hopi Agency,745,Arson,AZ,13.542322,6/19/2014
Pike and San Isabel National Forest,830,Lightning,CO,10.017115,6/19/2014
Deschutes National Forest,515,Campfire,OR,10.883326,6/19/2014
Georgia Forestry Commission,1221,Debris Burning,GA,28.03094,6/19/2014
Georgia Forestry Commission,1350,Debris Burning,GA,26.555628,6/19/2014
South Carolina Forestry Commission,1347,Debris Burning,SC,29.163752,6/19/2014
North Carolina Forest Service,1203,Debris Burning,NC,27.49969,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
Arkansas Forestry Commission,1215,Arson,AR,27.34344,6/19/2014
North Carolina Forest Service,1230,Lightning,NC,29.007502,6/19/2014
North Carolina Forest Service,1215,Miscellaneous,NC,26.327814,6/19/2014
North Carolina Forest Service,1335,Debris Burning,NC,28.632502,6/19/2014
North Carolina Forest Service,1105,Equipment Use,NC,27.56344,6/19/2014
New Mexico - State Forestry,1047,Lightning,NM,11.8706,6/19/2014
Merced-Mariposa Unit,1052,Miscellaneous,CA,21.516565,6/19/2014
Utah Division Forestry Fire State Lands,900,Equipment Use,UT,12.082727,6/19/2014
Shasta-Trinity National Forest,854,Campfire,CA,17.481348,6/19/2014
Shasta-Trinity Unit,916,Miscellaneous,CA,17.481348,6/19/2014
Fire Department of New York,1343,Miscellaneous,NY,17.25094,6/19/2014
Deschutes National Forest,800,Equipment Use,OR,10.979303,6/19/2014
Florida Forest Service,1545,Lightning,FL,27.040247,6/19/2014
Florida Forest Service,1410,Debris Burning,FL,27.571497,6/19/2014
Georgia Forestry Commission,1432,Debris Burning,GA,27.980524,6/19/2014
Arizona State Forestry Division - State Office,1437,Missing/Undefined,AZ,32.13143,6/19/2014
South Carolina Forestry Commission,1639,Debris Burning,SC,31.20431,6/19/2014
San Bernardino National Forest,1209,Smoking,CA,21.343653,6/19/2014
Mississippi Forestry Commission,1316,Debris Burning,MS,29.86056,6/19/2014
North Carolina Forest Service,1644,Debris Burning,NC,29.727747,6/19/2014
South Carolina Forestry Commission,1522,Debris Burning,SC,30.0274,6/19/2014
North Carolina Forest Service,1449,Debris Burning,NC,32.633995,6/19/2014
North Carolina Forest Service,1412,Lightning,NC,32.751183,6/19/2014
North Carolina Forest Service,1520,Debris Burning,NC,32.751183,6/19/2014
North Carolina Forest Service,1545,Miscellaneous,NC,32.751183,6/19/2014
North Carolina Forest Service,1448,Equipment Use,NC,33.016808,6/19/2014
North Carolina Forest Service,1629,Equipment Use,NC,33.016808,6/19/2014
North Carolina Forest Service,1402,Debris Burning,NC,31.969934,6/19/2014
North Carolina Forest Service,1555,Debris Burning,NC,31.344934,6/19/2014
San Luis Obispo Unit,1216,Miscellaneous,CA,23.957087,6/19/2014
San Benito-Monterey Unit,1216,Miscellaneous,CA,26.178308,6/19/2014
North Carolina Forest Service,1511,Equipment Use,NC,29.878962,6/19/2014
North Carolina Forest Service,1438,Equipment Use,NC,31.930872,6/19/2014
North Carolina Forest Service,1400,Equipment Use,NC,31.930872,6/19/2014
Yosemite National Park,1230,Miscellaneous,CA,14.612848,6/19/2014
Cedar City Field Office,1225,Missing/Undefined,UT,17.86529,6/19/2014
Nevada-Yuba-Placer Unit,1318,Equipment Use,CA,21.87115,6/19/2014
Tahoe National Forest,1250,Equipment Use,CA,18.849329,6/19/2014
Lassen-Modoc Unit,1352,Missing/Undefined,CA,19.489954,6/19/2014
Fire Department of New York,1436,Miscellaneous,NY,22.09884,6/19/2014
Rock Springs Field Office,1300,Missing/Undefined,WY,10.886286,6/19/2014
Oregon Department of Forestry State Headquarters,1300,Equipment Use,OR,19.464075,6/19/2014
Medford District,1147,Miscellaneous,OR,18.759912,6/19/2014
Black Hills National Forest,1330,Lightning,SD,16.151575,6/19/2014
